이름,No,상태
왜 이것이 문제인가?,QnA_1,5 Why Question
문제나 현상의 원인이 되는 것이 추가적으로 존재하는가?,QnA_2,5 Why Question
최초 문제를 풀어내는 것으로 이 문제를 풀어낼 수 있는가?,QnA_3,5 Why Question
이 문제를 풀어냄으로써 근본적 문제가 해결되는가?,QnA_4,5 Why Question
이 문제를 풀어낸 이후 관련하여 풀어야 할 문제가 남아있는가?,QnA_5,5 Why Question
(예시) 온라인에서 불법 다운로드가 횡행하며 사람들이 비용을 지불하지 않고 음악을 듣고 있어 음반사의 수익이 악화되고 있다,QnA_1,최초문제
"(예시) 비용을 들이지 않고 서비스를 소비하고자 하는 니즈는 항상 있었으나 허들이 지금까지는 어느 정도 존재했는데, P2P가 그 허들을 낮추며 문제를 격화시키기 시작했다",QnA_2,근본원인식별
(예시) 무료에 익숙해진 유저들이 비용을 지불하거나 다른 방식으로 음반사가 수익을 얻을 수 있는 새로운 패러다임의 솔루션이 필요하다,QnA_3,최종문제
(예시) P2P 프로그램이 대두되며 사람들이 무료로 음악을 듣는 것이 쉬워지고 익숙해졌기 때문이다.,QnA_2,5 Why Answer
(예시) 사람들은 비용을 지불하지 않고 음악을 듣는데 이는 생산자의 수익감소로 이어져 결국 음악산업을 부정적 피드백 루프로 몰아넣을 것이다,QnA_1,5 Why Answer
(예시) 단순히 불법 다운로드 금지나 비용지불 강제로는 무료로 음악을 듣는 것에 익숙해진 세상에서 문제를 폴어내기 어렵다,QnA_3,5 Why Answer
(예시) 이 문제를 풀어낸다면 더이상 부정적 피드백 루프로 음악산업과 아티스트가 몰락하여 양질의 음악을 듣지 못하게 되는 일은 없을 것이다,QnA_4,5 Why Answer
(예시) 이와 관련해서는 더이상 풀어나갈 문제가 없다,QnA_5,5 Why Answer